Posicion,Club,Pais,Participaciones,Titulos,Partidos_Jug,Partidos_Gan,Partidos_Empat,Partidos_perd,Goles_favor,Goles_contra,Puntos,Diferencia_goles,Prob_ganar,Prob_empatar,Prob_perder,Probabilidad_marcar_gol,Probabilidad_recibir_gol
1,Real Madrid CF,ESP,53,14,476,285,81,110,1047,521,651,526,0.5987394957983193,0.17016806722689076,0.23109243697478993,2.1995798319327733,1.0945378151260505
2,FC Bayern München,GER,39,6,382,229,76,77,804,373,534,431,0.599476439790576,0.19895287958115182,0.20157068062827224,2.1047120418848166,0.9764397905759162
3,FC Barcelona,ESP,33,5,339,197,76,66,667,343,470,324,0.5811209439528023,0.22418879056047197,0.19469026548672566,1.9675516224188792,1.0117994100294985
4,Manchester United,ENG,30,3,293,160,69,64,533,284,389,249,0.5460750853242321,0.2354948805460751,0.21843003412969283,1.819112627986348,0.9692832764505119
5,Juventus,ITA,37,2,301,153,70,78,479,301,376,178,0.5083056478405316,0.23255813953488372,0.2591362126245847,1.5913621262458473,1.0
6,Liverpool FC,ENG,27,6,248,142,50,56,472,228,334,244,0.5725806451612904,0.20161290322580644,0.22580645161290322,1.903225806451613,0.9193548387096774
7,AC Milan,ITA,30,7,267,131,68,68,437,251,330,186,0.49063670411985016,0.2546816479400749,0.2546816479400749,1.6367041198501873,0.9400749063670412
8,SL Benfica,POR,42,2,287,130,67,90,475,334,327,141,0.4529616724738676,0.23344947735191637,0.313588850174216,1.6550522648083623,1.1637630662020906
9,FC Porto,POR,37,2,269,121,61,87,395,304,303,91,0.44981412639405205,0.22676579925650558,0.32342007434944237,1.4684014869888475,1.1301115241635689
10,AFC Ajax,NED,39,4,247,112,64,71,396,282,288,114,0.4534412955465587,0.2591093117408907,0.2874493927125506,1.6032388663967612,1.1417004048582995
11,FC Dynamo Kyiv,UKR,39,0,254,104,55,95,350,315,263,35,0.4094488188976378,0.21653543307086615,0.37401574803149606,1.3779527559055118,1.2401574803149606
12,Chelsea FC,ENG,19,2,201,104,53,44,342,181,261,161,0.5174129353233831,0.263681592039801,0.21890547263681592,1.7014925373134329,0.900497512437811
13,FC Internazionale Milano,ITA,24,3,205,98,54,53,290,204,250,86,0.47804878048780486,0.2634146341463415,0.25853658536585367,1.4146341463414633,0.9951219512195122
14,Arsenal FC,ENG,21,0,201,101,43,57,332,218,245,114,0.5024875621890548,0.21393034825870647,0.2835820895522388,1.6517412935323383,1.0845771144278606
15,Celtic FC,SCO,37,1,222,101,39,82,337,270,241,67,0.45495495495495497,0.17567567567567569,0.36936936936936937,1.518018018018018,1.2162162162162162
16,Borussia Dortmund,GER,21,1,170,81,33,56,287,214,195,73,0.4764705882352941,0.19411764705882353,0.32941176470588235,1.688235294117647,1.2588235294117647
17,Club Atlético de Madrid,ESP,18,0,160,76,42,42,226,152,194,74,0.475,0.2625,0.2625,1.4125,0.95
18,RSC Anderlecht,BEL,34,0,200,70,44,86,282,320,184,-38,0.35,0.22,0.43,1.41,1.6
19,PSV Eindhoven,NED,30,1,187,69,44,74,249,234,182,15,0.3689839572192513,0.23529411764705882,0.39572192513368987,1.3315508021390374,1.2513368983957218
20,Paris Saint-Germain,FRA,16,0,143,77,27,39,283,166,181,117,0.5384615384615384,0.1888111888111888,0.2727272727272727,1.979020979020979,1.1608391608391608
21,FK Crvena zvezda,SRB,28,1,151,70,33,48,278,203,173,75,0.46357615894039733,0.2185430463576159,0.31788079470198677,1.8410596026490067,1.3443708609271523
22,Rangers FC,SCO,32,0,173,64,41,68,242,248,169,-6,0.3699421965317919,0.23699421965317918,0.3930635838150289,1.3988439306358382,1.4335260115606936
23,Olympiacos FC,GRE,35,0,186,66,36,84,222,283,168,-61,0.3548387096774194,0.1935483870967742,0.45161290322580644,1.1935483870967742,1.521505376344086
24,Olympique Lyonnais,FRA,18,0,148,65,37,46,232,178,167,54,0.4391891891891892,0.25,0.3108108108108108,1.5675675675675675,1.2027027027027026
25,GNK Dinamo Zagreb,CRO,24,0,156,65,32,59,230,217,162,13,0.4166666666666667,0.20512820512820512,0.3782051282051282,1.4743589743589745,1.391025641025641
26,Galatasaray AS,TUR,27,0,177,57,43,77,215,279,157,-64,0.3220338983050847,0.24293785310734464,0.4350282485875706,1.2146892655367232,1.576271186440678
27,Manchester City FC,ENG,13,1,119,66,24,29,245,131,156,114,0.5546218487394958,0.20168067226890757,0.24369747899159663,2.0588235294117645,1.1008403361344539
28,FC Shakhtar Donetsk,UKR,23,0,152,58,36,58,214,231,152,-17,0.3815789473684211,0.23684210526315788,0.3815789473684211,1.4078947368421053,1.519736842105263
29,Valencia CF,ESP,13,0,128,57,35,36,191,130,149,61,0.4453125,0.2734375,0.28125,1.4921875,1.015625
30,Rosenborg BK,NOR,25,0,152,58,31,63,224,232,147,-8,0.3815789473684211,0.20394736842105263,0.4144736842105263,1.4736842105263157,1.5263157894736843
31,FCSB,ROU,26,1,145,52,41,52,203,204,145,-1,0.3586206896551724,0.2827586206896552,0.3586206896551724,1.4,1.4068965517241379
32,Panathinaikos FC,GRE,28,0,157,49,45,63,182,214,143,-32,0.31210191082802546,0.28662420382165604,0.4012738853503185,1.1592356687898089,1.3630573248407643
33,AC Sparta Praha,CZE,28,0,146,54,30,62,190,203,138,-13,0.3698630136986301,0.2054794520547945,0.4246575342465753,1.3013698630136987,1.3904109589041096
34,FC Basel 1893,SUI,21,0,118,47,23,48,170,192,117,-22,0.3983050847457627,0.19491525423728814,0.4067796610169492,1.4406779661016949,1.6271186440677967
35,AS Monaco FC,FRA,18,0,118,46,24,48,185,159,116,26,0.3898305084745763,0.2033898305084746,0.4067796610169492,1.5677966101694916,1.347457627118644
36,Club Brugge,BEL,23,0,127,43,32,52,160,200,118,-40,0.33858267716535434,0.25196850393700787,0.4094488188976378,1.2598425196850394,1.5748031496062993
37,Bayer 04 Leverkusen,GER,13,0,97,41,24,32,148,112,122,36,0.422680412371134,0.24742268041237114,0.32989690721649484,1.5257731958762886,1.1546391752577319
38,Ferencvárosi TC,HUN,30,0,124,41,22,61,151,213,122,-62,0.33064516129032256,0.1774193548387097,0.49193548387096775,1.217741935483871,1.717741935483871
39,AS Roma,ITA,16,0,102,41,19,42,159,135,122,23,0.4019607843137255,0.18627450980392157,0.4117647058823529,1.5588235294117647,1.3235294117647058
40,Levski Sofia,BUL,20,0,123,39,23,61,149,197,121,-48,0.3170731707317073,0.18699186991869918,0.4959349593495935,1.2113821138211383,1.6016260162601625
41,FK Partizan,SRB,22,0,105,41,24,40,161,133,106,28,0.3904761904761905,0.22857142857142856,0.38095238095238093,1.5333333333333334,1.2666666666666666
42,FC BATE Borisov,BLR,15,0,100,36,30,34,111,138,102,-27,0.36,0.3,0.34,1.11,1.38
43,F.C. Copenhagen,DEN,16,0,94,38,23,33,126,113,99,13,0.40425531914893614,0.24468085106382978,0.35106382978723405,1.3404255319148937,1.202127659574468
44,PFC CSKA Sofia,BUL,25,0,98,41,16,41,140,144,98,-4,0.41836734693877553,0.16326530612244897,0.41836734693877553,1.4285714285714286,1.469387755102041
45,FC Salzburg,AUT,18,0,86,35,22,29,125,115,92,10,0.4069767441860465,0.2558139534883721,0.3372093023255814,1.4534883720930232,1.3372093023255813
46,PFC CSKA Moskva,RUS,15,0,104,34,24,46,125,155,92,-30,0.3269230769230769,0.23076923076923078,0.4423076923076923,1.2019230769230769,1.4903846153846154
